Sample No.,I Diameter (mm),O Diameter (mm),Weight (grams),Thickness (mm),Area (mm2), Load (kN),Stress (N/ mm2), Strength (N/ mm2)
1,67.62,89.8,259.18,11.09,2740.89,74.9,27.32,27.33
2,69.6,89.02,234.56,9.71,2418.11,77.2,31.91,31.93
3,62.82,88.32,280.05,12.75,3025.44,84.3,27.86,27.86
4,65.39,85.89,228.17,10.25,2434.47,75.8,31.13,31.14
5,69.98,87.62,202.55,8.82,2182.35,81.4,37.3,37.3
6,68.87,85.77,184.23,8.45,2051.53,90.3,44.01,44.02
7,75.54,88.91,210.11,6.69,1725.98,69.8,40.47,40.44
8,61.16,87.48,295.41,13.16,3071.08,106.3,34.6,34.61
9,70.04,88.56,221.47,9.26,2305.76,70.2,30.44,30.45
10,69.57,87.75,219.2,9.09,2245.16,68.5,30.49,30.51
11,64.9,88.71,281.34,11.91,2871.1,99.3,34.61,34.59
12,69.51,88.72,234.59,9.61,2386.08,80.3,33.67,33.65
13,69.28,88.43,230.34,9.58,2370.82,64.5,27.2,27.21
14,67.28,86.49,208.71,9.61,2318.83,84.4,36.41,36.4
15,67.33,84.95,273.03,8.81,2106.29,81.2,38.54,38.55
16,69.44,88.36,204.67,9.46,2343.68,86.9,37.88,37.08
17,69.54,86.65,191.77,8.56,2097.84,90.3,43.03,43.04
18,67.33,85.27,197.23,8.97,2149.05,40.3,18.77,18.75
19,70.55,86.3,188.15,7.88,1939.25,74.3,38.32,38.31
20,70.65,86.48,186.33,7.92,1952.58,70,35.83,35.85
21,68.54,87.13,208.31,9.3,2271.72,92.2,40.59,40.59
22,68.23,85.28,184.23,8.53,2054.62,97.6,17.08,47.5
23,61.02,87.08,285.15,13.03,3029.7,92.3,32.41,30.47
24,69.86,87.91,218.48,9.03,2235.48,74.5,33.34,33.33
25,64.61,85.59,209.34,10.49,2473.69,105.1,42.48,42.49
26,71.32,88.74,214.52,8.71,2188.77,75.8,34.64,34.63
27,61.53,85.93,283.13,12.2,2824.45,89.43,33.11,31.66
28,66.69,87.7,292.02,10.51,2546.33,79.2,31.09,31.1
29,67,88.35,265.05,10.68,2603.63,80.4,30.88,30.88
30,69.1,88.21,218.54,9.56,2359.86,72.7,30.81,30.81
31,65.08,89.07,283.72,12,2902.98,80.3,27.65,27.66
32,63.73,86.93,274.23,11.6,2743.82,89.2,32.52,32.51
33,68.67,87.91,194.39,9.62,2364.89,91.7,38.76,38.78
34,68.33,85.81,187.6,8.74,2115.08,75.6,35.72,35.74
35,69.21,84.97,188.83,7.88,1907.45,73.5,38.52,38.53
Average,67.69,87.32,229.68,9.81,2381.68,81.14,33.7,34.45
